Feed,Level,Severity,Rule,Attribute,Operator,Value,EffectiveDate,ExpirationDate,Validation Type,Threshold Type,Min Max,Comment,Notification
InternalCollateralAgreements,Attribute,Info,{NONEMPTY(REF2('Attributes\Agreement Base Currency'))},,,,,,,,,Attributes\Agreement Base Currency is not null,CCRCapital@bmo.com
InternalCollateralAgreements,Attribute,Info,{NONEMPTY(REF2('Attributes\Counterparty MTA'))},,,,,,,,,Attributes\Counterparty MTA is not null,CCRCapital@bmo.com
InternalCollateralAgreements,Attribute,Info,{NONEMPTY(REF2('Attributes\Host MTA'))},,,,,,,,,Attributes\Host MTA is not null,CCRCapital@bmo.com
InternalCollateralAgreements,Attribute,Info,{NONEMPTY(REF2('Attributes\Independent Amount Mode'))},,,,,,,,,Attributes\Independent Amount Mode is not null,CCRCapital@bmo.com
InternalCollateralAgreements,Attribute,Info,{NONEMPTY(REF2('Attributes\Net Collateral Ccy'))},,,,,,,,,Attributes\Net Collateral Ccy is not null,CCRCapital@bmo.com
InternalCollateralAgreements,Attribute,Info,{NONEMPTY(REF2('Identification\Reference'))},,,,,,,,,Identification\Reference is not null,CCRCapital@bmo.com
InternalCollateralAgreements,Attribute,Warning,{NONEMPTY(REF2('Regulatory Margin Period\Applicable Regulatory Margin Period'))},,,,,,,,,Regulatory Margin Period\Applicable Regulatory Margin Period is not null,CCRCapital@bmo.com
InternalCollateralAgreements,Attribute,Info,{NONEMPTY(REF2('Regulatory Margin Period\Illiquid Collateral'))},,,,,,,,,Regulatory Margin Period\Illiquid Collateral is not null,CCRCapital@bmo.com
InternalCollateralAgreements,Attribute,Info,{NONEMPTY(REF2('Regulatory Margin Period\Re-margining Frequency'))},,,,,,,,,Regulatory Margin Period\Re-margining Frequency is not null,CCRCapital@bmo.com
pre-defined_list,Attribute,Warning,"MATCH(Identification\Reference,${SOURCE_DIR}/Admin.InternalCollateralAgreements_filter.csv,)",Identification\Reference,,,,,,,,Identification_Reference from pre-defined list does not match any of the Identification_Reference in InternalCollateralAgreements,
RegulatoryCollateralAgreements,Feed,Critical,RECORDCOUNT,,BT,3200|4000,,,,,,InternalCollateralAgreements_Diff file records count is between 3400 and 4000,CCRCapital@bmo.com
RegulatoryCollateralAgreements,Feed,Critical,"{REF2('Identification\Reference') in ['PROVON\BFG\PROVON - BMO ISDA\PROVON - BMO ISDA CSA','RBC\BFG\RBC - BMO ISDA\RBC - BMO ISDA REG VM CSA', 'CIBC\BFG\CIBC - BMO ISDA\CIBC - BMO ISDA REG VM CSA'] if REF2('Attributes\Active') == 'Yes' else True}",,,,,,,,,Active flag equal to Yes and Identification\Reference in List,CCRCapital@bmo.com
RegulatoryCollateralAgreements,Attribute,Info,{NONEMPTY(REF2('Agreement Validity\End Date'))},,,,,,,,,Agreement Validity\End Date is not null,CCRCapital@bmo.com
RegulatoryCollateralAgreements,Attribute,Info,{NONEMPTY(REF2('Agreement Validity\Start Date'))},,,,,,,,,Agreement Validity\Start Date is not null,CCRCapital@bmo.com
RegulatoryCollateralAgreements_1,Attribute,Info,{NONEMPTY(REF2('Deal Validility\First Trading Date'))},,,,,,,,,Deal Validility\First Trading Date not null,CCRCapital@bmo.com
RegulatoryCollateralAgreements_1,Attribute,Info,{NONEMPTY(REF2('Deal Validility\Last Trading Date'))},,,,,,,,,Deal Validility\Last Trading Date not null,CCRCapital@bmo.com
RegulatoryCollateralAgreements,Attribute,Info,{NONEMPTY(REF2('Attributes\Active'))},,,,,,,,,Attributes\Active is not null,CCRCapital@bmo.com
RegulatoryCollateralAgreements,Attribute,Info,{NONEMPTY(REF2('Attributes\Agreement Base Currency'))},,,,,,,,,Attributes\Agreement Base Currency is not null,CCRCapital@bmo.com
RegulatoryCollateralAgreements,Attribute,Info,{NONEMPTY(REF2('Attributes\Counterparty MTA'))},,,,,,,,,Attributes\Counterparty MTA is not null,CCRCapital@bmo.com
RegulatoryCollateralAgreements,Attribute,Info,{NONEMPTY(REF2('Attributes\Host MTA'))},,,,,,,,,Attributes\Host MTA is not null,CCRCapital@bmo.com
RegulatoryCollateralAgreements,Attribute,Info,{NONEMPTY(REF2('Attributes\Independent Amount Mode'))},,,,,,,,,Attributes\Independent Amount Mode is not null,CCRCapital@bmo.com
RegulatoryCollateralAgreements,Attribute,Info,{NONEMPTY(REF2('Attributes\Net Collateral Ccy'))},,,,,,,,,Attributes\Net Collateral Ccy is not null,CCRCapital@bmo.com
RegulatoryCollateralAgreements,Attribute,Info,{NONEMPTY(REF2('Identification\Reference'))},,,,,,,,,Identification\Reference is not null,CCRCapital@bmo.com
RegulatoryCollateralAgreements,Attribute,Warning,{NONEMPTY(REF2('Regulatory Margin Period\Applicable Regulatory Margin Period'))},,,,,,,,,Regulatory Margin Period\Applicable Regulatory Margin Period is not null,CCRCapital@bmo.com
RegulatoryCollateralAgreements,Attribute,Info,{NONEMPTY(REF2('Regulatory Margin Period\Illiquid Collateral'))},,,,,,,,,Regulatory Margin Period\Illiquid Collateral is not null,CCRCapital@bmo.com
RegulatoryCollateralAgreements,Attribute,Info,{NONEMPTY(REF2('Regulatory Margin Period\Re-margining Frequency'))},,,,,,,,,Regulatory Margin Period\Re-margining Frequency is not null,CCRCapital@bmo.com
pre-defined_list,Attribute,Warning,"MATCH(Identification\Reference,${SOURCE_DIR}/Admin.RegulatoryCollateralAgreements_filter.csv,)",Identification\Reference,,,,,,,,Identification_Reference from pre-defined list does not match any of the Identification_Reference in RegulatoryCollateralAgreements,
