Feed,Level,Severity,Rule,Attribute,Operator,Value,EffectiveDate,ExpirationDate,Validation Type,Threshold Type,Min Max,Comment,Notification
baskets.sql,Attribute,Critical,{NONEMPTY(REF2('MKT_NOTIONAL')) and REF2('MKT_NOTIONAL') not in ['0']},,,,,,,,,MKT_NOTIONAL cannot be Null and value not zero,CCRCapital@bmo.com
Calypso_cds.sql,Attribute,Critical,{NONEMPTY(REF2('TRADE_ID'))},,,,,,,,,TRADE_ID cannot be Null,CCRCapital@bmo.com
Calypso_cds.sql,Attribute,Critical,{NONEMPTY(REF2('SRC_SYS_CD'))},,,,,,,,,SRC_SYS_CD cannot be Null,CCRCapital@bmo.com
Calypso_cds.sql,Attribute,Critical,"{NONEMPTY(REF2('BUY_SELL')) and REF2('BUY_SELL') in ['B', 'S'] }",,,,,,,,,BUY_SELL cannot be Null and value should be B & S,CCRCapital@bmo.com
Calypso_cds.sql,Attribute,Critical,{NONEMPTY(REF2('CPTY_CD'))},,,,,,,,,CPTY_CD cannot be Null,CCRCapital@bmo.com
Calypso_cds.sql,Attribute,Warning,{NONEMPTY(REF2('RSPNSBTY_CENTRE'))},,,,,,,,,RSPNSBTY_CENTRE cannot be Null,CCRCapital@bmo.com
Calypso_cds.sql,Attribute,Warning,{NONEMPTY(REF2('TRANSIT'))},,,,,,,,,TRANSIT cannot be Null,CCRCapital@bmo.com
Calypso_cds.sql,Attribute,Critical,{NONEMPTY(REF2('PRODUCT'))},,,,,,,,,PRODUCT cannot be Null,CCRCapital@bmo.com
Calypso_cds.sql,Attribute,Warning,NONEMPTY(REF2('NOTIONAL')),,,,,,,,,NOTIONAL cannot be Null,CCRCapital@bmo.com
eq_der_gmi.sql,Attribute,Critical,{NONEMPTY(REF2('SRC_SYS_CD'))},,,,,,,,,SRC_SYS_CD cannot be Null,CCRCapital@bmo.com
eq_der_gmi.sql,Attribute,Critical,"{NONEMPTY(REF2('BUY_SELL')) and REF2('BUY_SELL') in ['B', 'S'] }",,,,,,,,,BUY_SELL cannot be Null and value should be B & S,CCRCapital@bmo.com
eq_der_gmi.sql,Attribute,Warning,{NONEMPTY(REF2('RSPNSBTY_CENTRE'))},,,,,,,,,RSPNSBTY_CENTRE cannot be Null,CCRCapital@bmo.com
eq_der_gmi.sql,Attribute,Warning,{NONEMPTY(REF2('TRANSIT'))},,,,,,,,,TRANSIT cannot be Null,CCRCapital@bmo.com
eq_der_gmi.sql,Attribute,Critical,{NONEMPTY(REF2('PRODUCT'))},,,,,,,,,PRODUCT cannot be Null,CCRCapital@bmo.com
eq_der_gmi.sql,Attribute,Warning,{NONEMPTY(REF2('NOTIONAL'))},,,,,,,,,NOTIONAL cannot be Null,CCRCapital@bmo.com
eq_der_imagine.sql,Attribute,Critical,{NONEMPTY(REF2('SRC_SYS_CD'))},,,,,,,,,SRC_SYS_CD cannot be Null,CCRCapital@bmo.com
eq_der_imagine.sql,Attribute,Critical,"{NONEMPTY(REF2('BUY_SELL')) and REF2('BUY_SELL') in ['B', 'S'] }",,,,,,,,,BUY_SELL cannot be Null and value should be B & S,CCRCapital@bmo.com
eq_der_imagine.sql,Attribute,Warning,{NONEMPTY(REF2('RSPNSBTY_CENTRE'))},,,,,,,,,RSPNSBTY_CENTRE cannot be Null,CCRCapital@bmo.com
eq_der_imagine.sql,Attribute,Warning,{NONEMPTY(REF2('TRANSIT'))},,,,,,,,,TRANSIT cannot be Null,CCRCapital@bmo.com
eq_der_imagine.sql,Attribute,Critical,{NONEMPTY(REF2('PRODUCT'))},,,,,,,,,PRODUCT cannot be Null,CCRCapital@bmo.com
eq_der_imagine.sql,Attribute,Warning,{NONEMPTY(REF2('NOTIONAL'))},,,,,,,,,NOTIONAL cannot be Null,CCRCapital@bmo.com
eq_der_swapone.sql,Attribute,Critical,{NONEMPTY(REF2('SRC_SYS_CD'))},,,,,,,,,SRC_SYS_CD cannot be Null,CCRCapital@bmo.com
eq_der_swapone.sql,Attribute,Critical,"{NONEMPTY(REF2('BUY_SELL')) and REF2('BUY_SELL') in ['B', 'S'] }",,,,,,,,,BUY_SELL cannot be Null and value should be B & S,CCRCapital@bmo.com
eq_der_swapone.sql,Attribute,Warning,{NONEMPTY(REF2('RSPNSBTY_CENTRE'))},,,,,,,,,RSPNSBTY_CENTRE cannot be Null,CCRCapital@bmo.com
eq_der_swapone.sql,Attribute,Warning,{NONEMPTY(REF2('TRANSIT'))},,,,,,,,,TRANSIT cannot be Null,CCRCapital@bmo.com
eq_der_swapone.sql,Attribute,Critical,{NONEMPTY(REF2('PRODUCT'))},,,,,,,,,PRODUCT cannot be Null,CCRCapital@bmo.com
eq_der_swapone.sql,Attribute,Warning,{NONEMPTY(REF2('NOTIONAL'))},,,,,,,,,NOTIONAL cannot be Null,CCRCapital@bmo.com
eq_der_tradereh1.sql,Attribute,Critical,{NONEMPTY(REF2('SRC_SYS_CD'))},,,,,,,,,SRC_SYS_CD cannot be Null,CCRCapital@bmo.com
eq_der_tradereh1.sql,Attribute,Critical,"{NONEMPTY(REF2('BUY_SELL')) and REF2('BUY_SELL') in ['B', 'S'] }",,,,,,,,,BUY_SELL cannot be Null and value should be B & S,CCRCapital@bmo.com
eq_der_tradereh1.sql,Attribute,Warning,{NONEMPTY(REF2('RSPNSBTY_CENTRE'))},,,,,,,,,RSPNSBTY_CENTRE cannot be Null,CCRCapital@bmo.com
eq_der_tradereh1.sql,Attribute,Warning,{NONEMPTY(REF2('TRANSIT'))},,,,,,,,,TRANSIT cannot be Null,CCRCapital@bmo.com
eq_der_tradereh1.sql,Attribute,Critical,{NONEMPTY(REF2('PRODUCT'))},,,,,,,,,PRODUCT cannot be Null,CCRCapital@bmo.com
eq_der_tradereh1.sql,Attribute,Warning,{NONEMPTY(REF2('NOTIONAL'))},,,,,,,,,NOTIONAL cannot be Null,CCRCapital@bmo.com
eq_der_tradereh2.sql,Attribute,Critical,{NONEMPTY(REF2('SRC_SYS_CD'))},,,,,,,,,SRC_SYS_CD cannot be Null,CCRCapital@bmo.com
eq_der_tradereh2.sql,Attribute,Critical,"{NONEMPTY(REF2('BUY_SELL')) and REF2('BUY_SELL') in ['B', 'S'] }",,,,,,,,,BUY_SELL cannot be Null and value should be B & S,CCRCapital@bmo.com
eq_der_tradereh2.sql,Attribute,Warning,{NONEMPTY(REF2('RSPNSBTY_CENTRE'))},,,,,,,,,RSPNSBTY_CENTRE cannot be Null,CCRCapital@bmo.com
eq_der_tradereh2.sql,Attribute,Warning,{NONEMPTY(REF2('TRANSIT'))},,,,,,,,,TRANSIT cannot be Null,CCRCapital@bmo.com
eq_der_tradereh2.sql,Attribute,Critical,{NONEMPTY(REF2('PRODUCT'))},,,,,,,,,PRODUCT cannot be Null,CCRCapital@bmo.com
eq_der_tradereh2.sql,Attribute,Warning,{NONEMPTY(REF2('NOTIONAL'))},,,,,,,,,NOTIONAL cannot be Null,CCRCapital@bmo.com
calypsoTlock.sql,Attribute,Critical,{NONEMPTY(REF2('SRC_SYS_CD'))},,,,,,,,,SRC_SYS_CD cannot be Null,CCRCapital@bmo.com
calypsoTlock.sql,Attribute,Critical,"{NONEMPTY(REF2('BUY_SELL')) and REF2('BUY_SELL') in ['B', 'S'] }",,,,,,,,,BUY_SELL cannot be Null and value should be B & S,CCRCapital@bmo.com
calypsoTlock.sql,Attribute,Warning,{NONEMPTY(REF2('RSPNSBTY_CENTRE'))},,,,,,,,,RSPNSBTY_CENTRE cannot be Null,CCRCapital@bmo.com
calypsoTlock.sql,Attribute,Warning,{NONEMPTY(REF2('TRANSIT'))},,,,,,,,,TRANSIT cannot be Null,CCRCapital@bmo.com
calypsoTlock.sql,Attribute,Critical,{NONEMPTY(REF2('PRODUCT'))},,,,,,,,,PRODUCT cannot be Null,CCRCapital@bmo.com
calypsoTlock.sql,Attribute,Warning,{NONEMPTY(REF2('NOTIONAL'))},,,,,,,,,NOTIONAL cannot be Null,CCRCapital@bmo.com
gfi.sql,Attribute,Critical,{NONEMPTY(REF2('SRC_SYS_CD'))},,,,,,,,,SRC_SYS_CD cannot be Null,CCRCapital@bmo.com
gfi.sql,Attribute,Critical,"{NONEMPTY(REF2('BUY_SELL')) and REF2('BUY_SELL') in ['B', 'S'] }",,,,,,,,,BUY_SELL cannot be Null and value should be B & S,CCRCapital@bmo.com
gfi.sql,Attribute,Warning,{NONEMPTY(REF2('RSPNSBTY_CENTRE'))},,,,,,,,,RSPNSBTY_CENTRE cannot be Null,CCRCapital@bmo.com
gfi.sql,Attribute,Warning,{NONEMPTY(REF2('TRANSIT'))},,,,,,,,,TRANSIT cannot be Null,CCRCapital@bmo.com
gfi.sql,Attribute,Critical,{NONEMPTY(REF2('PRODUCT'))},,,,,,,,,PRODUCT cannot be Null,CCRCapital@bmo.com
gfi.sql,Attribute,Warning,{NONEMPTY(REF2('NOTIONAL'))},,,,,,,,,NOTIONAL cannot be Null,CCRCapital@bmo.com
saccr_override.sql,Attribute,Warning,{NONEMPTY(REF2('TRANSIT'))},,,,,,,,,TRANSIT cannot be Null,CCRCapital@bmo.com
saccr_override.sql,Attribute,Warning,{NONEMPTY(REF2('NOTIONAL'))},,,,,,,,,NOTIONAL cannot be Null,CCRCapital@bmo.com
v_mtm_agg_enhanced.sql,Attribute,Warning,{NONEMPTY(REF2('NOTIONAL'))},,,,,,,,,NOTIONAL cannot be Null,CCRCapital@bmo.com
